File Name,File Path,Sheets
08_DATA_Cleaned_Chile_Fanta Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Chile_Fanta Regular.xlsx,N/A
08_DATA_Cleaned_Chile_Fanta_Regular Extra Cell.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Chile_Fanta_Regular Extra Cell.xlsx,N/A
08_DATA_Cleaned_Chile_Fanta_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Chile_Fanta_Zero.xlsx,N/A
08_DATA_Cleaned_Chile_Sprite Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Chile_Sprite Regular.xlsx,N/A
08_DATA_Cleaned_Chile_Sprite_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Chile_Sprite_Zero.xlsx,N/A
08_DATA_Cleaned_CH_Dayao.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_CH_Dayao.xlsx,N/A
08_DATA_Cleaned_CH_Dayao_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_CH_Dayao_Zero.xlsx,N/A
08_DATA_Cleaned_CH_Fanta_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_CH_Fanta_Regular.xlsx,N/A
08_DATA_Cleaned_CH_Fanta_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_CH_Fanta_Zero.xlsx,N/A
08_DATA_Cleaned_CH_Sprite_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_CH_Sprite_Regular.xlsx,N/A
08_DATA_Cleaned_CH_Sprite_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_CH_Sprite_Zero.xlsx,N/A
08_DATA_Cleaned_DE_Fanta Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_DE_Fanta Regular.xlsx,N/A
08_DATA_Cleaned_DE_Fanta zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_DE_Fanta zero.xlsx,N/A
08_DATA_Cleaned_DE_Sprite Regular_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_DE_Sprite Regular_v2.xlsx,N/A
08_DATA_Cleaned_DE_Sprite Zero_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_DE_Sprite Zero_v2.xlsx,N/A
08_DATA_Cleaned_EG_Fanta_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_EG_Fanta_Regular.xlsx,N/A
08_DATA_Cleaned_EG_Sprite_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_EG_Sprite_Regular.xlsx,N/A
08_DATA_Cleaned_FR_Fanta Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_FR_Fanta Regular.xlsx,N/A
